Type,Unnamed: 1,Unnamed: 2,Sa,Nominal,Real,SA.1,SA.2,SA.3,SA.4,SA.5
Source,,,CBS,BOI,CBS,CBS,CBS,CBS,CBS,CBS
Release Lag,,,,,,,,,,
Date,Quarter,Year,GDP,Intrest_rate,CPI,C,G,I,EX,IM
1995Q1,1,1995,137232.578,,50.686297921999994,70112.724,39908.198,37992.38,29244.223,36840.081
1995Q2,2,1995,140074.891,,51.545149081266665,70331.653,40199.49,39062.304,30179.386,36457.797
1995Q3,3,1995,141735.088,,52.5447955125,71057.324,39524.852,39289.253,30462.717,36058.63
1995Q4,4,1995,142643.505,,54.10762303173334,74416.6,40078.902,40124.547,31595.34,40014.707
1996Q1,1,1996,144318.53,13.9,55.642291496599995,74520.56,40261.575,40536.667,31807.756,39798.936
1996Q2,2,1996,147008.826,15.236651,57.895015848700005,75123.63,41118.345,42313.937,30887.838,39567.856
1996Q3,3,1996,149008.95,16.336663,58.8946622799,75798.548,41773.388,41864.571,32414.162,40044.299
1996Q4,4,1996,151348.648,15.266666,60.0069449288,76031.798,42126.159,42863.837,33491.553,40472.251
1997Q1,1,1997,153122.917,14.243332,61.372659067233336,77275.745,42428.149,42977.221,34422.559,41115.247
1997Q2,2,1997,153196.912,13.746666,62.893248004899995,78051.646,42335.013,41372.408,35330.658,41892.745
1997Q3,3,1997,153345.823,12.993332,64.23080308896665,78378.35,42502.158,41664.256,36221.859,42057.129
1997Q4,4,1997,156122.169,13.4,64.86438181300001,80277.193,42537.018,41173.221,36699.206,42598.726
1998Q1,1,1998,159174.555,12.929999,64.8080637042,81341.023,42945.884,42791.342,36321.602,42277.636
1998Q2,2,1998,158400.938,11.899999,65.849948717,83355.689,43152.955,38905.991,39524.1647,43416.235
1998Q3,3,1998,159913.42,10.393326,66.55392507703333,83887.655,43425.551,41357.722,37999.69,43369.894
1998Q4,4,1998,160587.881,11.999969,69.918932078,84014.781,43241.044,41149.944,38530.162,43673.28
1999Q1,1,1999,160806.367,13.286666,69.51714461023333,85207.107,43446.841,41426.029,39763.721,45997.77
1999Q2,2,1999,166024.277,12.156666,69.73974193526665,86026.135,43955.015,46291.381,41621.754,49183.481
1999Q3,3,1999,166563.081,11.656666,70.51883257293333,87800.83,44342,44450.04,45028.296,51747.444
1999Q4,4,1999,169904.803,11.363333,71.23114401309999,88235.447,44767.636,44640.96,47040.667,52181.497
2000Q1,1,2000,171932.556,10.246665,70.56335203793334,90513.106,44385.523,42983.663,50122.914,54337.446
2000Q2,2,2000,178221.337,9.4,71.11984535056668,92921.768,44503.418,43839.021,52446.166,54697.135
2000Q3,3,2000,183865.92,9.083333,71.25340374556667,95834.308,44571.585,41573.025,61898.1473,56299.987
2000Q4,4,2000,184308.252,8.353333,71.23114401309999,97749.352,45290.585,49899.497,51822.067,57537.442
2001Q1,1,2001,182531.654,7.709999,70.76885388843333,97669.622,45859.089,46977.741,50959.061299999994,56453.856
2001Q2,2,2001,181004.976,7.103333,71.7399124592,97570.249,45975.045,46592.326,47760.971,53738.842
2001Q3,3,2001,179050.771,6.353333,72.4504431207,98047.921,45863.451,42841.161,46772.677,51728.789
2001Q4,4,2001,178310.91,5.909998,72.37939005456666,98828.244,47750.582,41301.581,45302.06,50778.396
2002Q1,1,2002,179796.632,4.013332,73.46887040226666,99914.691,47902.972,41534.717,45091.407,51676.077
2002Q2,2,2002,179847.085,5.313317,75.83730594066667,99791.028,48297.591,40691.982,46918.082,53061.605
2002Q3,3,2002,179977.308,9.1,77.13994548676668,98460.884,48478.95,41835.501,46561.412,51990.662
2002Q4,4,2002,179898.52,9.086667,77.23468290833334,99723.242,48617.86,39760.287,48327.5567,53031.218
2003Q1,1,2003,182413.3,8.89,77.2758936867,98307.643,48228.136,39352.124,49459.991799999996,50675.856
2003Q2,2,2003,181463.672,8.329999,76.92176520503334,99632.559,47210.763,38801.401,48486.086,51046.928
2003Q3,3,2003,182754.841,6.953331,75.93526443453332,101200.33,47368.183,39133.016,51589.0097,53289.095
2003Q4,4,2003,183994.562,5.609998,75.5811359528,101202.145,46805.731,38639.845,53007.643,52033.716
2004Q1,1,2004,186656.122,4.523333,75.35348192886666,102597.08,46518.663,39796.505,56523.0714,56586.021
2004Q2,2,2004,189049.655,4.1,76.39057248246667,103777.302,47289.299,38445.919,59102.4514,56964.25
2004Q3,3,2004,191722.941,4.1,76.39057248243331,104587.588,46920.394,40548.313,60989.0425,59097.709
2004Q4,4,2004,193983.144,4.013333,76.31468780776667,107096.791,46807.451,38728.024,63605.801,60529.157
2005Q1,1,2005,196366.31,3.557143,75.93526443450001,107467.514,47456.197,40283.392,62435.152,60038.533
2005Q2,2,2005,198314.749,3.5,76.59293161486666,108468.663,47743.671,42260.383,63356.6418,61493.851
2005Q3,3,2005,200703.305,3.507576,77.68061195153332,109014.191,47836.126,43198.239,64257.3863,61008.936
2005Q4,4,2005,204464.743,4.095237,78.28768934873334,109017.372,48331.138,44570.528,63999.757,59595.507
2006Q1,1,2006,207395.654,4.689064,78.31298424026666,112348.729,47857.462,47073.234,64169.5378,62153.375
2006Q2,2,2006,211270.141,5.175,79.32477990233333,113152.307,48324.767,45700.757,68904.7803,63086.097
2006Q3,3,2006,210061.531,5.428571,79.22360033613333,113828.681,49454.841,41969.824,65294.7919,58985.489
2006Q4,4,2006,213767.092,5.215187,78.1359199994,116727.98,49698.364,46980.493,68218.7202,65762.824
2007Q1,1,2007,218158.524,4.249999,77.87558497556667,119180.685,49648.032,45145.674,71358.0373,66153.986
2007Q2,2,2007,221329.358,3.734472,78.4794752165,125292.945,51045.916,42929.669,73260.1595,67774.279
2007Q3,3,2007,225848.365,3.772397,79.94981667253333,122592.652,50955.838,51678.875,73457.716,70425.607
2007Q4,4,2007,229623.71,4.011905,80.31740203653334,123782.788,50874.243,52215.1,77410.4108,72951.533
2008Q1,1,2008,230338.176,4.04365,80.71124349796666,123861.075,51220.61,49650.448,81535.7145,73764.99
2008Q2,2,2008,230932.802,3.352814,82.39163373343332,125090.674,51206.015,48852.881,80004.1693,73041.155
2008Q3,3,2008,231407.355,4.011559,84.04576787153333,125585.933,51300.939,48739.838,79405.6516,71604.829
2008Q4,4,2008,230124.167,3.192387,84.01951177406666,124242.224,51759.586,48974.643,71930.60990000001,65758.575
2009Q1,1,2009,230855.917,1.120452,83.44775899646667,124087.752,52596.285,48971.406,64896.42479999999,58987.628
2009Q2,2,2009,232978.16,0.5,84.99308786676666,124952.491,53323.744,48027.207,67367.449,59439.108
2009Q3,3,2009,234806.328,0.595238,86.70398768746666,127122.51,53971.257,46686.502,68067.7155,62165.425
2009Q4,4,2009,237346.154,0.848861,87.00753442979999,129323.975,54182.087,45605.373,74333.31959999999,65037.556
2010Q1,1,2010,241273.779,1.25,86.3728457867,129622.535,54421.792,48509.203,77599.42809999999,67699.749
2010Q2,2,2010,245133.731,1.5,87.3938666474,130731.141,54508.375,50316.925,80406.6257,69455.349
2010Q3,3,2010,247704.995,1.67803,88.44248266653335,133265.296,54822.928,52092.712,79000.82359999999,70926.455
2010Q4,4,2010,251672.845,2,89.15995678489999,135689.513,55553.033,54645.588,82094.027,75383.017
2011Q1,1,2011,256061.708,2.281651,89.82632466989999,137742.323,56024.164,55947.124,84636.8469,76796.163
2011Q2,2,2011,258477.339,3.098485,90.96818472926667,137420.822,56406.086,58512.747,87321.4357,79223.798
2011Q3,3,2011,263513.31,3.25,91.319526286,138251.49,56995.634,60655.845,87210.99190000001,78667.319
2011Q4,4,2011,265188.544,2.916666,91.37808321213333,138349.657,57206.049,63243.632,86337.29609999999,80012.845
2012Q1,1,2012,263107.419,2.568182,91.46591860133333,139771.075,57218.966,70690.284,80726.1905,83404.78
2012Q2,2,2012,265552.204,2.492063,92.40282941923333,140712.217,58249.43,59415.239,90459.8305,81619.435
2012Q3,3,2012,268651.083,2.25,92.95912021743334,140958.962,58257.61,61532.172,87329.10209999999,78707.109
2012Q4,4,2012,269025.821,2.071428,92.87128482820002,142460.896,59461.973,60773.428,84084.59629999999,77081.785
2013Q1,1,2013,272616.861,1.75,92.74163979376665,143430.911,59770.023,58586.39,90053.5102,78181.294
2013Q2,2,2013,276979.645,1.536231,93.54246431539998,145660.146,60497.421,60502.345,93001.8446,80963.143
2013Q3,3,2013,279680.656,1.242063,94.4664926096,146699.089,61095.884,64513.214,90713.68059999999,82740.633
2013Q4,4,2013,282139.854,1,94.58969638216666,147279.283,61118.874,62757.843,92313.831,81240.723
2014Q1,1,2014,286255.076,0.908333,93.94287657623333,148705.021,61855.963,66391.4,93328.9078,82683.412
2014Q2,2,2014,287612.391,0.75,94.31248789390001,149476.714,61643.209,68019.792,90423.2353,81232.698
2014Q3,3,2014,289866.768,0.48844,94.4664926096,151047.346,64031.265,63920.473,92721.24040000001,82792.439
2014Q4,4,2014,294021.169,0.25,94.4048907233,155346.959,64079.7,63510.978,93580.14140000001,82822.428
2015Q1,1,2015,293727.17,0.195,93.15129233753333,154789.545,64250.028,66201.317,92488.37879999999,83438.734
2015Q2,2,2015,294475.833,0.1,93.90529942559999,155479.393,63925.186,66283.905,90699.84270000001,81633.353
2015Q3,3,2015,294517.261,0.1,94.0938011976,157328.824,64640.397,64420.829,89386.8547,81739.467
2015Q4,4,2015,297813.499,0.1,93.5911298056,160355.157,65732.929,66450.117,90522.4196,84986.398
2016Q1,1,2016,298528.951,0.1,92.6800379075,161772.321,66204.573,67890.203,91231.172,86879.633
2016Q2,2,2016,307158.447,0.1,93.11987537553334,166685.469,67579.219,68904.295,93724.2756,91205.171
2016Q3,3,2016,310388.396,0.1,93.55971284359998,168278.559,67875.733,74473.485,92920.6949,93633.777
2016Q4,4,2016,314266.378,0.1,93.33979410953333,168265.246,68385.976,75926.664,95104.5994,92763.551
2017Q1,1,2017,315380.395,0.1,93.12091213526666,168763.723,69150.131,71920.568,96069.8588,89581.308
2017Q2,2,2017,318863.338,0.1,93.52484001573333,171856.339,69736.945,73630.007,95556.9273,91345.255
2017Q3,3,2017,324410.366,0.1,93.33841176323334,174641.684,69500.911,77476.893,97474.9838,96821.852
2017Q4,4,2017,328581.814,0.1,93.618054142,174911.794,71505.154,77897.659,100349.7639,95532.883
2018Q1,1,2018,331874.951,0.1,93.27626901236665,177127.792,72567.544,81067.585,101953.388,100173.332
2018Q2,2,2018,333541.863,0.1,94.208410275,177148.249,71631.733,82674.309,103064.4173,101003.355
2018Q3,3,2018,336538.432,0.1,94.5191240292,178861.959,73011.731,76911.272,105463.09909999999,99081.948
2018Q4,4,2018,339581.952,0.154545,94.61233815546666,181243.67,73375.041,81636.956,103752.0646,100495.642
2019Q1,1,2019,345706.012,0.25,94.46008841589999,184332.124,73739.104,85233.586,106710.2507,102081.655
2019Q2,2,2019,344709.707,0.25,95.3387869128,184133.448,74745.377,78152.637,107571.29190000001,102008.61
2019Q3,3,2019,348530.862,0.25,94.96220184266667,185460.534,75268.044,85199.556,105261.348,104148.825
2019Q4,4,2019,351411.857,0.25,95.024966021,189185.139,75185.593,87439.149,105671.4449,105996.781
2020Q1,1,2020,344173.334,0.25,94.58561677256667,178277.785,73110.447,87877.72,102490.6857,99168.617
2020Q2,2,2020,315715.619,0.115909,94.30317797003333,157669.365,75083.421,76394.365,94059.3375,88406.25
2020Q3,3,2020,344023.877,0.1,94.30317797003333,170829.593,77588.965,81105.887,104257.2273,87696.934
2020Q4,4,2020,352924.889,0.1,94.36594214836667,178578.513,79463.695,92619.441,107042.6052,103908.233
2021Q1,1,2021,354685.891,0.1,94.52313503303333,179372.229,77882.278,90904.158,111498.5325,107012.292
2021Q2,2,2021,367119.841,0.1,95.56185080266665,191070.662,79895.849,93962.682,114240.8702,111937.289
2021Q3,3,2021,374258.445,0.1,96.38023292413334,193746.944,80420.136,97287.406,118712.58320000001,115726.367
2021Q4,4,2021,391029.888,0.1,96.72647151400001,200516.863,83194.112,101211.119,126637.0837,123604.694
2022Q1,1,2022,388616.495,0.1,97.70223481273332,202606.912,80372.846,104436.649,126438.99220000001,127797.104
2022Q2,2,2022,394445.162,0.471861,99.55933270380001,207581.647,80631.67,104372.438,129818.2559,129551.076
2022Q3,3,2022,394716.997,1.5226,101.00723953413335,204801.153,81437.449,109533.306,129745.0671,129376.08
2022Q4,4,2022,401958.285,2.91883,101.7626691848,209252.761,81184.252,110257.816,128440.2622,126941.981
2023Q1,1,2023,405854.064,3.921014,102.76666666666667,207599.482,81855.003,110135.227,128158.14779999999,124461.167
2023Q2,2,2023,408487.732,4.584782,104.13333333333333,207435.674,82762.186,111463.529,128766.24620000001,122423.129
2023Q3,3,2023,408292.301,4.75,99.97920546243331,207214.623,84159.575,109584.353,129487.6961,120314.187
2023Q4,4,2023,384833.911,4.75,97.92054624456667,191957.11,98359.598,80685.009,121908.14090000001,107334.122
2024Q1,1,2024,400149.958,4.5,98.19987585353333,202385.753,98530.092,93233.393,120889.7423,116261.58
2024Q2,2,2024,399838.029,4.5,99.68963376786667,209015.636,97957.673,86288.728,118976.381,113909.105
2024Q3,3,2024,404759.829,4.5,100.93109869646666,213442.077,97422.864,96190.374,119728.665,118280.436
2024Q4,4,2024,406817.06,4.5,101.24146492863333,218387.609,99658.21,91521.572,121331.4843,123343.267
2025Q1,1,2025,,4.5,101.66666666666664,,,,,
