Unnamed: 0,Total gross income tax department,Total Refunds Income Tax Division,Total Income Tax Division Net,MK self -employed and companies (advances and cavalry),Deductions and the capital market,Real Estate Taxation,Independently promote,Independent tax differences,Independent cancellation,Companies promote,Tax difference companies,CPIs,Property tax,Praise tax,Purchase tax,A salary deduction,Goods and services,Sales Tax,VAT financial institutions (wages),Excess expenses,Bonds and diphoband,Deductions,Refunds of friendship,Refunds are independent,Appreciation tax refunds,Purchase Refunds
2015-10-01,11157030,-806426,10350604,4001269,6346727,809034,399685,536395,-6160,2382826,692911,-4388,1329,361006,449890,4262960,368434,832564,233468,90557,341755,-8787,-374530,-371743,-27919,-13812
2015-11-01,12206694,-906447,11300247,4652108,6705998,848588,782642,679265,-11119,2382682,822261,-3623,2233,331432,518034,4587577,447594,867455,220502,82810,227575,-5978,-428925,-381950,-51209,-25905
2015-12-01,11508453,-1492936,10015517,4076166,6481282,951005,449182,705428,-3627,2047965,881597,-4379,3869,396244,555032,4209530,461651,904938,216958,88711,391610,-13793,-860349,-466429,-116226,-30952
2016-01-01,15641270,-1119242,14522028,6273212,8365438,1002620,11332,2254746,-4187,70057,3945127,-3863,2160,401767,603857,4928598,735622,888641,214267,146403,1285090,-9464,-657246,-383425,-45662,-14921
2016-02-01,12433769,-933760,11500009,4779368,6651454,1002948,355412,820705,-3802,2290188,1321785,-4920,1985,399409,602289,4677233,379392,893472,222097,67906,213351,-7731,-533912,-304314,-44009,-21983
2016-03-01,13005613,-1174956,11830657,5053669,6967673,984273,807501,829892,-4762,2639208,790155,-8325,2285,396416,586160,4965952,462482,910140,227731,68626,158825,-4506,-786482,-257589,-36806,-16750
2016-04-01,12629535,-718164,11911371,4131235,7601077,897222,407756,539374,-8487,2544742,666717,-18867,1483,395002,503246,5282475,511081,823505,227645,69224,392826,-3746,-432643,-203277,-39837,-22528
2016-05-01,14779668,-2077894,12701774,5883194,7879949,1016526,849720,663869,-8480,3034539,1347889,-4343,2168,383634,638121,5336984,773041,889581,252185,79644,187246,-21987,-1822822,-228843,-2770,-2297
2016-06-01,12131578,-773789,11357789,4478657,6480698,1172224,462927,868906,-5140,2519068,647534,-14638,2478,481357,691807,4144601,545034,872913,212288,74516,303609,-9741,-325475,-350781,-21419,-9495
2016-07-01,14610753,-1107934,13502819,5451111,8201997,957645,884834,763439,-2806,2937183,871439,-2978,3773,345787,610438,5538666,548889,1155630,211932,81906,410334,-16987,-474239,-429506,-145630,-39522
2016-08-01,12263087,-1010096,11252991,4339279,6767948,1155859,471239,584373,-4990,2686297,607373,-5013,1159,480347,676238,4621247,475447,980609,276417,71218,131104,-8734,-361020,-510896,-72756,-43132
2016-09-01,13727726,-1094222,12633504,5265483,7450806,1011437,874030,800518,-6498,2625414,976511,-4492,1052,376380,640277,5060186,505364,915264,254840,82811,298916,-8058,-553376,-427928,-62805,-35233
2016-10-01,7635207,-548642,7086565,2756677,4260748,617781,245404,423470,-7483,1581074,519365,-5153,725,225293,394665,2847562,220285,588924,134367,46373,129017,-6797,-219840,-275888,-24823,-16969
2016-11-01,16809663,-938645,15871018,5788191,10044729,976743,1010499,639121,-14730,3498754,677353,-22806,1149,410816,566875,7055016,657501,1252380,306555,121521,457264,-12138,-434477,-437917,-26552,-18984
2016-12-01,12665958,-1267889,11398069,5180037,6732159,753762,525221,761648,-16963,2467171,1464456,-21496,2326,376989,378834,4450769,547811,831770,226859,83537,347414,-8032,-707857,-463180,-40173,-30246
2017-01-01,17626105,-1008064,16618041,8068333,8377460,1180312,7319,2879287,-16218,224643,4992885,-19583,1288,518555,662687,5460573,787002,831831,328587,160687,548441,-6249,-511002,-411480,-37293,-24962
2017-02-01,13834160,-1054870,12779290,5222888,7528275,1082997,404122,994997,-23443,2507997,1348399,-9184,1072,431581,651542,5013371,474703,848955,278827,73628,473104,-12806,-616214,-341073,-39472,-41002
2017-03-01,14493734,-1682904,12810830,5475812,7867188,1150734,858331,782484,-3644,2707566,1134712,-3637,1095,492630,659272,5412649,493359,979927,211455,72332,401496,-9177,-1235684,-282534,-57117,-38165
2017-04-01,14065777,-980497,13085280,4669592,8646415,749771,430017,536378,-3658,2934673,780919,-8737,916,296625,454035,5662805,573859,840787,320012,79072,639854,-33447,-730930,-175313,-40597,-21453
2017-05-01,14437177,-783438,13653739,5344549,8099009,993618,869558,618600,-13869,2840993,1035506,-6239,2745,431036,566228,5551857,581195,844593,300487,78996,407586,-5720,-446805,-261181,-37024,-24485
2017-06-01,13646671,-1011859,12634812,5161205,7441231,1044234,490724,779452,-5723,2897745,1012183,-13176,2572,479717,565145,4469777,612826,933599,302940,75210,638478,-37162,-538549,-378634,-43602,-28512
2017-07-01,15830599,-1298021,14532578,5896678,8876940,1056980,977351,951836,-3706,3085069,1147329,-261201,2364,457668,599568,5338756,611255,1099138,274220,84656,992541,-12462,-705747,-464969,-65493,-35285
2017-08-01,16615658,-1273963,15341695,7167485,8324103,1124070,534119,2414325,-7514,2866411,1366384,-6240,3538,473395,649743,4833718,594037,1048839,258870,79899,1175722,-19592,-654403,-506089,-46725,-41493
2017-09-01,19182433,-856809,18325624,5845957,12408933,927543,1029661,1084466,-4919,2921374,826410,-11035,1005,383946,544639,6195639,886940,1071784,286588,101172,3520936,-12691,-394109,-385607,-33592,-22049
2017-10-01,20577666,-852693,19724973,5624148,14086929,866589,554533,1035508,-7760,3099346,957678,-15157,1564,334980,533387,5241561,614580,993118,263697,88408,6517527,-28426,-403417,-401611,-23395,-14108
2017-11-01,13530761,-1035218,12495543,5068677,7445201,1016884,921500,537949,-6253,2881043,1007429,-272991,1788,459682,557828,5061275,642294,975055,254972,81254,101745,-13939,-464017,-455259,-60778,-36780
2017-12-01,12559875,-1185939,11373936,4648664,6934543,976668,575754,1116754,-9846,2051394,947896,-33288,2044,410422,570171,4538451,669365,979209,239809,88861,153554,-12979,-628476,-463350,-48134,-30529
2018-01-01,18408941,-1538585,16870356,8464050,8922011,1022880,12462,3017633,-13477,106676,5347921,-7165,1452,365388,658818,5682137,1094937,878123,276342,153592,562007,-6371,-944434,-483882,-54015,-34641
2018-02-01,14391408,-1434574,12956834,5622723,7740207,1028478,424802,958178,-10559,2570955,1771751,-92404,5311,451953,574828,5107347,638458,1027774,281727,71048,115069,-8561,-955264,-387199,-36006,-29617
2018-03-01,15359931,-1166104,14193827,6030292,8155210,1174428,912259,802357,-10553,2946170,1442774,-62715,1096,519921,653929,5746202,627200,1029564,203525,71660,137275,-15240,-724546,-353322,-44988,-24892
2018-04-01,14998257,-1005329,13992928,5424411,8692514,881331,537863,528150,-6127,3240893,1128436,-4804,1382,366810,516053,6178763,632310,924683,277732,79602,107126,-56219,-703329,-232319,-31763,-21778
2018-05-01,14551912,-2093842,12458070,5102360,8343316,1106237,964922,677877,-10892,2764498,712360,-6405,691,510811,599663,5707647,649256,1001408,343330,76962,146719,-29524,-1572579,-394444,-37003,-21863
2018-06-01,13266563,-1162857,12103706,4707108,7508122,1051333,526317,549216,-8236,2917411,729761,-7361,1321,492092,559808,4862542,712769,917499,324261,74224,357481,-171569,-574879,-493142,-47151,-33519
2018-07-01,16829445,-1404427,15425018,6457307,9261373,1110766,1028549,830809,-7572,3041364,1583839,-19682,1867,432610,679570,6170520,897319,1275588,256350,79874,196397,-17324,-748035,-577062,-35672,-26954
2018-08-01,14599900,-1780469,12819431,5625749,7882661,1091491,566765,701830,-7497,3139647,1231601,-6597,4194,429016,661942,5207635,632361,1091598,244760,79524,357902,-20512,-1031320,-653109,-40534,-33170
2018-09-01,12505066,-925868,11579198,4492793,7312788,699485,786618,558456,-3663,2585699,567916,-2233,951,287218,412248,5001186,548500,948240,255431,65142,132938,-3938,-591248,-287924,-19848,-14312
2018-10-01,14476752,-1214102,13262650,5364266,8037327,1075160,734110,632345,-8829,3263032,754846,-11238,1531,493405,582796,5578326,562173,1046205,215055,86495,181529,-14245,-621943,-487435,-53143,-32410
2018-11-01,14444134,-1482670,12961464,5602471,7970509,871154,1003603,684842,-7119,3230147,702833,-11835,2483,345566,525966,5503976,626556,1011842,221139,83555,244439,-139621,-769848,-557695,-52409,-27924
2018-12-01,14745667,-1226128,13519539,5735018,7949452,1061195,759443,952475,-5162,2356115,1682665,-10518,5008,482709,577122,5216854,647426,1056683,215463,78864,499057,-10917,-606978,-515356,-44312,-36187
2019-01-01,19060825,-2009692,17051133,8203424,9692008,1165392,17699,2854512,-40276,520841,4871787,-21139,2742,481900,682221,6093799,1010221,1011714,241946,163463,1025310,-25397,-1407650,-492376,-38248,-30638
2019-02-01,15045279,-2708142,12337137,6019357,8019492,1006428,485242,1011220,-9191,2942760,1639298,-49972,1888,411662,594210,5592114,664661,975600,238574,69498,194521,-8431,-2126446,-443870,-78879,-30080
2019-03-01,15727208,-1491104,14236104,6262261,8450711,1014237,992066,722714,-7077,3289401,1271633,-6476,2801,432476,585607,5994869,615476,1103750,183453,76675,193078,-11823,-984459,-397939,-44263,-28726
2019-04-01,15358609,-1227819,14130790,5503090,9000500,855019,537391,900553,-4007,3163394,913699,-7940,2004,361665,492724,6373482,633351,958888,262469,73545,188498,-6875,-831921,-287055,-32680,-30539
2019-05-01,16057705,-1201993,14855712,5849557,9054034,1154114,1062606,642474,-13338,3388837,782533,-13555,3703,430695,721010,6162553,827708,1020812,318741,79988,220172,-10240,-695260,-372748,-44048,-24665
2019-06-01,13569244,-1142161,12427083,4924171,7648724,996349,579802,595580,-5849,3137784,622011,-5157,663,398243,599821,5028909,779931,1008573,239151,71918,219190,-4884,-581155,-447361,-42167,-35027
2019-07-01,16704765,-1444422,15260343,6194139,9461831,1048794,1080719,898859,-12156,3152432,1082443,-8158,4096,420846,627589,6322913,733443,1319215,252142,86268,320265,-18849,-709949,-651079,-35851,-26963
2019-08-01,14674151,-1356357,13317794,5479103,8157784,1037264,611933,710416,-35192,3471654,747864,-27572,1153,401269,638437,5379489,734187,1101257,264630,84766,252451,-15696,-534102,-675618,-42333,-30991
2019-09-01,15247464,-1012777,14234687,5538740,8686360,1022363,1073253,547337,-10544,3395593,592533,-59432,1194,458171,568797,5860764,755825,1083793,234489,82299,291572,-12341,-472997,-478933,-28284,-17007
2019-10-01,11607341,-883986,10723355,4270776,6545688,790876,639022,491557,-8511,2481365,677881,-10538,600,317594,474961,4289070,454986,884596,168705,53674,222319,-6586,-417750,-393729,-28784,-23689
2019-11-01,17718210,-1522941,16195269,6943479,9704140,1070590,1138555,1085612,-30226,3960465,797550,-8477,1457,428131,641653,6698993,835855,1205559,268408,100218,224662,-9156,-837352,-581348,-62327,-26987
2019-12-01,15935956,-2100511,13835445,6351254,8431586,1153116,717309,1546982,-15330,2227599,1884957,-10263,3454,504374,647502,5204193,973235,1133275,180719,78843,557319,-17545,-1191895,-781485,-75439,-29075
2020-01-01,20988506,-1922328,19066178,8540320,11153055,1295130,21489,3937639,-12518,91482,4519901,-17673,1183,513903,784424,6634099,1356584,1006210,233818,180963,1070401,-16536,-1252588,-569533,-41808,-30465
2020-02-01,16100226,-2165078,13935148,5823461,8801570,1475196,513605,1020534,-6818,3013061,1291778,-8699,773,596823,882306,5925780,741978,1085537,268632,73564,223285,-35015,-1612173,-457187,-44606,-29370
2020-03-01,15744711,-3483203,12261508,5127200,9584648,1032862,846731,722413,-11155,2806446,779811,-17046,2439,370615,664825,6459202,759139,1073944,218250,73680,297960,-17573,-2763482,-605066,-35114,-22012
2020-04-01,13762266,-1404500,12357766,3980477,9105593,676196,453774,338458,-12437,2450540,767947,-17805,447,269591,411245,6256189,797487,1017884,276889,62902,104488,-14906,-977757,-343389,-41274,-20528
2020-05-01,13638461,-1326454,12312007,4580605,8237806,820048,928605,682368,-12884,2451979,554670,-24133,357,319857,507712,5641394,686675,1082340,204265,67208,345195,-18814,-773003,-473592,-35157,-28427
2020-06-01,14029413,-1602293,12427120,5470235,7823599,735579,866864,606453,-7844,2872341,1141550,-9129,797,337090,400822,5394920,680488,1024840,223205,61397,160668,-13971,-623411,-876967,-40274,-23897
2020-07-01,16707684,-1460900,15246784,6012776,9667863,1027045,1114409,789155,-17581,2930621,1210535,-14363,1257,474847,555453,7071472,657691,1116809,158979,59079,230392,-54283,-739651,-637961,-35460,-27994
2020-08-01,14797241,-1302481,13494760,5508709,8129206,1159325,631140,872142,-15006,3042126,987036,-8729,1750,478366,684061,5575966,661467,1076273,180501,51506,261635,-11133,-560239,-615577,-56955,-41357
2020-09-01,15685718,-1056448,14629270,5922506,8946193,817019,1054965,918187,-9036,3029746,940036,-11392,2348,319024,499556,6367483,762288,1006861,162308,65477,253156,-10184,-474290,-514719,-27090,-23280
2020-10-01,14360363,-1110754,13249609,5174092,8312035,874237,640055,638772,-13650,3153397,813779,-58261,159,357804,521199,6061551,643330,857869,140837,61256,214371,-25216,-602238,-446723,-22192,-15408
2020-11-01,15821146,-1201127,14620019,6424100,8310145,1086901,1077876,675769,-42257,3930351,793300,-10939,599,440176,652098,5825445,719122,1020615,213802,59425,209547,-13035,-597966,-506031,-50956,-24460
2020-12-01,15289882,-1291478,13998404,5523793,8522287,1243802,697044,1176749,-11204,2600951,1079665,-19412,2224,541092,704902,5647131,674330,927740,127149,56784,673963,-14575,-624183,-562220,-58380,-30147
2021-01-01,22977582,-1580392,21397190,10467618,11378707,1131256,29075,3780262,-10115,194484,6503454,-29542,532,450983,685773,7611294,1112234,950433,191960,112402,1054725,-164513,-979977,-494123,-43037,-43717
2021-02-01,17442657,-1943968,15498689,6489411,9675967,1277279,523685,1052171,-13163,3061414,1878868,-13564,434,447763,832545,6743051,667550,910443,154718,51335,307204,-30824,-1447695,-413520,-32987,-27776
2021-03-01,18517882,-1261290,17256592,6521382,10557127,1439374,1017798,1221450,-21428,3184818,1130591,-11847,501,494254,947545,7378238,709213,1051859,138804,53657,302946,-18964,-830276,-332393,-29385,-33289
2021-04-01,18754062,-1305648,17448414,6257389,10874762,1621912,707461,962133,-19952,3558691,1103797,-54741,261,704314,926939,7820609,931400,1044419,170457,54464,249660,-17981,-747522,-369072,-44334,-27118
2021-05-01,17989954,-1436762,16553192,6435119,10096594,1458241,1142702,950979,-19549,3505146,883060,-27219,931,562748,899233,6834858,986923,1052606,152540,59681,410839,-17506,-820292,-448493,-31542,-23884
2021-06-01,17906994,-1898429,16008565,7145576,8974655,1786762,745233,1607896,-8697,3799250,1062739,-60845,2274,731146,1058694,6190561,842584,1126356,126827,58395,441441,-254927,-1155336,-589267,-36129,-71118
2021-07-01,21808785,-1401039,20407746,8656317,11473899,1908569,1465197,1611984,-22917,4060680,1564011,-22638,939,873298,1039148,8153833,886380,1181484,123528,65061,491764,-39362,-699165,-595709,-43691,-28593
2021-08-01,20167221,-1495485,18671736,7380244,10549650,2187327,869925,1346179,-11387,4063012,1167501,-54986,1081,831924,1358508,7154964,1265458,1030668,139507,63758,464647,-16928,-621303,-606072,-56522,-43661
2021-09-01,18241101,-681067,17560034,6547059,10067425,1576616,1027347,798836,-15659,3745335,1018643,-27443,656,549623,1029230,6871019,942979,983567,133735,62770,356183,-20627,-279860,-344188,-18747,-19408
2021-10-01,19940560,-1256648,18683912,7325933,10112580,2452047,1122545,1082345,-52009,4408873,791524,-27345,7660,1003571,1445654,7066125,710269,1256089,123197,60820,389973,-18764,-653936,-528522,-32314,-22319
2021-11-01,21818799,-1272805,20545994,9083292,10320450,2365057,1422488,1399915,-74426,4495082,1861316,-21083,1256,944218,1426958,7049162,1120975,1086933,128553,65896,497955,-20177,-594918,-559856,-66882,-30616
2021-12-01,22110270,-1324475,20785795,8396881,11168930,2514460,866496,1805138,-13209,4406096,1353565,-21205,7475,1079156,1438785,6792828,987055,1137870,119013,66318,1294242,-19636,-630222,-575293,-59895,-36925
2022-01-01,32891977,-1790973,31101004,15719390,14640945,2531641,55204,4315964,-20670,183629,11227330,-42067,2621,1040907,1493996,9152962,2034158,939041,172696,141139,1752287,-76074,-1178166,-500698,-56120,-36648
2022-02-01,22729436,-1712927,21016509,9719320,10812422,2197694,639810,1758680,-55762,4255972,3152065,-31445,1071,944163,1262461,7746720,698886,1063838,118808,54898,426579,-20147,-1182774,-441630,-42479,-24522
2022-03-01,22863994,-1597354,21266640,9360795,11318321,2579876,1420826,1394371,-45770,4474850,2161362,-44844,2925,1119751,1462700,8448553,914658,973014,141555,57316,464662,-180354,-1473300,-433149,-33643,-31018
2022-04-01,22293713,-1156054,21137659,8572113,11789821,1931780,767794,1457603,-33857,4943230,1465016,-27673,2729,979060,955942,8591254,1010670,931332,154116,63151,457053,-17888,-696078,-346159,-37385,-22405
2022-05-01,25014202,-1580338,23433864,9189055,13087296,2737852,1422234,1232233,-25554,5108043,1468767,-16668,1040,995056,1746796,9773838,990741,1155145,226738,66317,476314,-27631,-865917,-537404,-55242,-36433
2022-06-01,21364251,-1430977,19933274,9110137,9697210,2556905,902908,1605127,-15258,4882254,1754215,-19109,1519,1188675,1376817,6702764,806304,996097,165181,58941,550393,-16232,-663161,-654383,-55775,-35984
2022-07-01,23479149,-1466938,22012211,9779485,11465113,2234551,1727343,1446577,-39666,5161228,1514166,-30163,10729,909360,1319363,8126956,926382,1449910,131941,74823,525156,-29573,-656786,-701569,-40955,-22932
2022-08-01,22610659,-1562045,21048614,10168845,10171369,2270444,1067278,1917107,-19268,5724992,1517760,-39024,1600,1002808,1273515,7109946,947201,1237332,174509,71577,519057,-22432,-644484,-783730,-57997,-44798
2022-09-01,21151923,-1090352,20061571,8531587,10757127,1863208,1498077,1121852,-18038,4741287,1202519,-14110,1066,769430,1104356,7820609,863570,1060239,150754,66616,543144,-37193,-385716,-605067,-46300,-36472
2022-10-01,20564815,-877444,19687371,8529047,10430519,1605250,887754,786703,-20488,5210284,1684970,-20176,509,717451,896758,7259216,670748,1187900,139740,71313,781717,-18414,-388720,-427220,-29393,-17941
2022-11-01,21701186,-1501552,20199634,9030138,10549702,2121347,1558121,1339895,-139957,4972038,1325908,-25867,1815,995347,1129325,7959318,728768,993884,152072,80759,479323,-24822,-752829,-646080,-48245,-34952
2022-12-01,20260035,-1673284,18586751,7733816,10820922,1705296,870278,1774064,-15884,3519611,2012103,-426356,2549,847172,860747,7207675,1218828,1171038,133710,88232,864398,-26714,-751636,-767977,-84545,-45990
2023-01-01,31069565,-2325366,28744199,15291234,13928505,1849827,37114,4099226,-87250,285242,10984418,-27516,2959,823051,1028755,9137458,1433992,1019090,187704,182784,1800748,-54153,-1568762,-640753,-50622,-32563
2023-02-01,22220564,-1655672,20564892,9509002,10758119,1953443,744240,1529280,-24242,4743654,2561752,-45682,2194,719227,1239301,7988313,854555,1001296,155543,60061,402157,-21841,-943266,-542833,-56727,-54748
2023-03-01,22359828,-1858588,20501240,9252715,11476414,1630700,1501074,1347276,-106305,4857095,1736162,-82587,682,674872,962089,8394887,868841,1199747,178577,71584,427636,-34085,-1144726,-575007,-62848,-45815
2023-04-01,22090796,-1385470,20705326,7996928,13006551,1087317,854837,959338,-11865,5335919,874992,-16293,664,465117,626432,9665631,967825,1109172,268841,71022,380435,-25439,-935620,-347987,-50860,-33807
2023-05-01,22430088,-2176825,20253263,8786549,12176681,1466859,1534942,1313967,-70602,5030097,1117146,-139001,1116,637318,833125,8497580,880169,1140000,138517,70291,1025759,-21818,-1340228,-686079,-59976,-61791
2023-06-01,20221964,-1966967,18254997,8182299,10801605,1238060,929354,1093857,-19492,5051842,1161307,-34569,5597,583108,659568,7453648,1064405,1066900,130390,62554,526625,-16971,-902006,-871298,-59492,-54292
2023-07-01,23442165,-2122449,21319716,9074927,13069865,1297374,1546066,1187716,-45876,5152762,1248479,-14220,6261,555003,742964,9263295,1002487,1525123,148624,80344,478989,-24777,-1044882,-901469,-89049,-54677
2023-08-01,20779497,-2071899,18707598,8277986,11224946,1276564,958420,1292428,-12769,5087923,966133,-14149,631,505765,777130,8050383,846684,1162744,150963,78234,544661,-22636,-885314,-1011066,-77429,-41250
2023-09-01,21467214,-1543333,19923881,8095997,12372854,998363,1577072,821828,-13713,4822731,902483,-14404,416,378114,625730,8572176,1328066,1139419,221096,79036,401522,-16513,-689349,-743488,-49746,-33101
2023-10-01,18983509,-2342512,16640997,6722938,11119895,1140675,748739,901238,-21500,4530866,594090,-30495,656,506935,641813,7837759,785182,1177622,151663,69775,538901,-37710,-1290498,-925977,-65433,-32702
2023-11-01,18826956,-1887161,16939795,6775616,11130570,920769,1352479,791042,-140349,4196204,603796,-27556,1150,358116,568918,7897951,1122623,1062792,153690,78998,440997,-17203,-914958,-833481,-60970,-44445
2023-12-01,19511321,-1551667,17959654,7544386,11132907,834029,857229,1094821,-24520,3650848,1989492,-23484,1593,336232,501205,7587189,884031,1227930,152944,76509,793379,-34067,-744526,-681385,-48722,-48929
2024-01-01,30254100,-2110529,28143571,14420468,14455514,1378118,7614,3747161,-47830,408546,10364371,-59393,2545,640472,740239,9642482,1242252,1088422,136079,167069,1494267,-52175,-1233617,-742568,-45431,-42671
2024-02-01,21870690,-2290368,19580322,8971095,11583009,1316586,734956,1583223,-29784,4589345,2133577,-40222,866,458005,863156,8461815,888512,959107,159555,65545,432524,-24760,-1454577,-654055,-80625,-54224
2024-03-01,23880721,-2058984,21821737,9580517,12996958,1303246,1485217,1231139,-87776,4901184,2089590,-38836,1284,539385,766451,9548986,895312,1262507,150831,66362,509363,-36310,-1377604,-538149,-62654,-36029
2024-04-01,23785187,-1473149,22312038,8345888,14296179,1143120,837295,1129451,-23775,5273000,1185737,-55820,853,376593,768653,10651959,908567,1062677,275183,70137,527471,-8824,-964630,-415275,-29365,-41110
2024-05-01,24170708,-2414900,21755808,9462109,13225697,1482902,1738056,1702405,-37494,5015204,1122945,-79006,719,559330,928021,8787727,1681530,997340,190243,69526,678702,-46724,-1401586,-880798,-46033,-40858
2024-06-01,22203526,-2260803,19942723,8356895,12511419,1335212,1181723,1034028,-11472,5182406,1009733,-39523,1383,463559,881539,8429085,1296988,1178941,173183,65570,523270,-14475,-1317536,-820423,-40397,-40921
2024-07-01,26322906,-3468742,22854164,9924942,14791143,1606821,1596132,1341295,-48094,5404810,1682662,-51864,1867,576376,1035680,10262827,1028582,1275653,152551,73475,600130,-34027,-2150779,-1100206,-134732,-27679
2024-08-01,23514998,-2224597,21290401,8881980,13168840,1464178,1133072,982147,-142146,5950153,982061,-23306,1173,505891,965787,9129968,1045465,1353683,151484,68491,480431,-142675,-1008054,-1030473,-79462,-44205
2024-09-01,23238768,-2017410,21221358,9223729,12536391,1478648,1641895,956801,-19777,5696288,982619,-34096,945,535850,948202,8710488,1139673,1134255,162615,73949,403200,-65201,-930836,-956126,-59013,-33060
2024-10-01,22358171,-1472766,20885405,8651707,12431164,1275300,1026697,900708,-58802,5711302,1082246,-10445,861,465174,812934,8640453,941802,1151882,152580,76910,646700,-57400,-653961,-731068,-36035,-30540
2024-11-01,23599157,-1808876,21790281,9350523,12670193,1578441,1720385,809501,-30273,5745659,1152690,-47439,1725,511678,1069964,8782156,1226461,1102552,136258,75819,631954,-26476,-800437,-762172,-54116,-47704
2024-12-01,24478941,-2005037,22473904,8884258,14101417,1493266,1634862,1701034,-23656,3812494,1783485,-23961,11681,540901,944984,8501925,1439864,1262439,135117,74030,1732384,-40451,-1008726,-849787,-52383,-44149
2025-01-01,46169561,-2650218,43519343,18925525,25385959,1858078,14626,5571084,-102024,143947,13346338,-48446,975,695938,1166666,11933758,2679560,1112230,148074,164217,8251756,-232575,-1534989,-941950,-64714,-43691
2025-02-01,26272572,-2473465,23799107,11347667,12801393,2123512,749272,1784915,-27541,5534635,3430811,-124425,701,928319,1201344,9205642,1134195,1249833,144825,68987,274666,-388074,-1624679,-683914,-61898,-43301
2025-03-01,27543981,-3046495,24497486,10970388,14819584,1754009,1713334,1157861,-20715,6558905,1586250,-25247,514,702259,1060017,10475358,1470596,1409695,156387,69986,263867,-44417,-2167639,-693069,-73482,-43468
2025-04-01,27094900,-1949229,25145671,9188097,16263947,1642855,959446,797317,-15468,5856762,1604485,-14445,670,681703,966067,11839209,1555134,1091275,250292,73459,349817,-29500,-1126929,-626756,-60656,-53981
