,Direct tax,Indirect tax,fees,Total budget
Jan-96,3615.7,3420.2,175,7210.9
Feb-96,4442.9,3114,189,7745.9
Mar-96,4408.6,3707.4,176.9,8292.9
Apr-96,4051.2,3154.1,140.2,7345.5
May-96,4320.3,3605.4,178.5,8104.2
Jun-96,4207.7,3213.1,182.7,7603.5
Jul-96,4586.8,3898.4,216.7,8701.9
Aug-96,4064.2,3144,180.2,7388.4
Sep-96,4635.4,3911.4,164.7,8711.5
Oct-96,3910.4,3438.5,204.3,7553.2
Nov-96,4498.2,3484.4,169.8,8152.4
Dec-96,4054.2,4160.322,238.8,8453.322
Jan-97,4752.9,3986.3,210.7,8949.9
Feb-97,4900.4,3227.5,195.5,8323.4
Mar-97,5037.9,4297.1,238.7,9573.7
Apr-97,4848.6,3401.2,207.3,8457.1
May-97,5178,3853.6,218.5,9250.1
Jun-97,4465.1,3836.2,218.1,8519.4
Jul-97,5412.7,4028.2,229.9,9670.8
Aug-97,4872.7,3703.5,200.3,8776.5
Sep-97,5402.5,4176.6,214.6,9793.7
Oct-97,4850.8,3555.4,231.8,8638
Nov-97,4748.5,4096.3,250.1,9094.9
Dec-97,4810.4,4274.033,317.7,9402.133
Jan-98,5156.8,3681,230.2,9068
Feb-98,4392.1,3690.2,237.6,8319.9
Mar-98,6098.3,4582,275.6,10955.9
Apr-98,5439.5,3588,228.5,9256
May-98,5579.4,4057.6,230,9867
Jun-98,4858.1,3844.4,242.4,8944.9
Jul-98,6146.2,4327,240.8,10714
Aug-98,5463.8,4029.5,201.3,9694.6
Sep-98,5758.9,4508.7,193.8,10461.4
Oct-98,5018.9,3886.4,242.6,9147.9
Nov-98,4918.7,4455.4,257.4,9631.5
Dec-98,5198.6,4683.896,412.6,10295.096
Jan-99,5610.227,4510.171,263.86,10384.258
Feb-99,5360.965,4123.22,218.149,9702.334
Mar-99,5201.181,4466.114,303.85,9971.145
Apr-99,5569.816,4185.324,290.136,10045.276
May-99,6188.867,4274.587,301.79,10765.244
Jun-99,5616.147,4117.288,298.276,10031.711
Jul-99,6368.26,4848.153,250.296,11466.709
Aug-99,5725.948,4964.537,231.967,10922.452
Sep-99,6361.013,4737.575,205.026,11303.614
Oct-99,5364.686,4258.221,331.741,9954.648
Nov-99,6069.476,5243.295,288.121,11600.892
Dec-99,6252.632,4877.324,381.46,11511.416
Jan-00,6777,4913,250,11940
Feb-00,7292,4323,270,11885
Mar-00,7156,5253,170,12579
Apr-00,7232,4696,290,12218
May-00,7663,5039,340,13042
Jun-00,6739,4033,320,11092
Jul-00,7314,5628,300,13242
Aug-00,7086,4904,280,12270
Sep-00,7331,5271,280,12882
Oct-00,7110,5079,300,12489
Nov-00,7054,4198,300,11552
Dec-00,6134.3,4255.603,322.7,10712.603
Jan-01,7156.4,5852.1,330,13338.5
Feb-01,7501.8,3927.8,278.5,11708.1
Mar-01,7797.7,4933.2,357.7,13088.6
Apr-01,7055.1,4374.7,209.8,11639.6
May-01,7823.5,4833.6,339.1,12996.2
Jun-01,6877,4229.9,338.7,11445.6
Jul-01,7483.1,5427.3,333.5,13243.9
Aug-01,6920.9,4752.4,293.8,11967.1
Sep-01,7358.4,5263.8,227.1,12849.3
Oct-01,5829.7,4190.4,321.1,10341.2
Nov-01,6451.9,4544.4,321.7,11318
Dec-01,6720.9,5143.2,323,12187.1
Jan-02,6576,5641,345,12562
Feb-02,7020,4663,290,11973
Mar-02,7143,5111,365,12619
Apr-02,6638,4891,360,11889
May-02,7127,5079,490,12696
Jun-02,6286,4795,320,11401
Jul-02,7879,6165,340,14384
Aug-02,5826,5116,300,11242
Sep-02,6655,6088,270,13013
Oct-02,6103,5464,360,11927
Nov-02,6100,4290,320,10710
Dec-02,6572.6,5669,450.9,12692.5
Jan-03,5672.5,4943.3,360.4,10976.2
Feb-03,6436.1,4802.7,289.6,11528.4
Mar-03,6571.6,5762.7,373.2,12707.5
Apr-03,6233.8,4294.4,208.6,10736.8
May-03,6340.9,5494.4,342.7,12178
Jun-03,5994.1,4789.6,348.2,11131.9
Jul-03,7162.7,5896.3,390.1,13449.1
Aug-03,6319.1,5120.6,356.5,11796.2
Sep-03,6488,5994,335.4,12817.4
Oct-03,6332.6,5783.9,362.7,12479.2
Nov-03,6226.8,5802.7,272.3,12301.8
Dec-03,6415,4943.2,274.3,11632.5
Jan-04,6405.5,5704.8,363.8,12474.1
Feb-04,7229,4950.3,369.7,12549
Mar-04,6926.5,6332.6,440,13699.1
Apr-04,6673.2,4712.9,338.2,11724.3
May-04,6879.3,6342.8,397.5,13619.6
Jun-04,5780.5,4603.9,295.4,10679.8
Jul-04,7061,5573.2,381.3,13015.5
Aug-04,6202.5,6192.1,359.9,12754.5
Sep-04,6875.7,5602,308.6,12786.3
Oct-04,6404.8,5536.9,348.8,12290.5
Nov-04,6506.1,5550,408.1,12464.2
Dec-04,6794.2,5469.3,1084,13347.5
Jan-05,7327.9,5958.7,369.4,13656
Feb-05,7031.1,5065.6,318.9,12415.6
Mar-05,7808.2,6079.2,393.7,14281.1
Apr-05,6976.8,4658.7,300.3,11935.8
May-05,7928.6,7211.5,378.5,15518.6
Jun-05,7262.8,5129.5,363.5,12755.8
Jul-05,7449.7,6404.8,426.5,14281
Aug-05,6983.3,6118,340,13441.3
Sep-05,7779,6477,353,14609
Oct-05,7077,5338,311,12726
Nov-05,7319,5808,431,13558
Dec-05,6491,5509,411.2,12411.2
Jan-06,9145.9,6709.8,380,16235.7
Feb-06,8863.7,5437.4,330,14631.1
Mar-06,8539.1,6130.1,343,15012.2
Apr-06,9180.7,6094.5,297,15572.2
May-06,8359.8,6637.9,410,15407.7
Jun-06,7214.7,5470.2,396,13080.9
Jul-06,8073.1,6636.8,387,15096.9
Aug-06,11052,5663,333,17048
Sep-06,7936,6081,295,14312
Oct-06,7051,6131,394,13576
Nov-06,8377,6217,352,14946
Dec-06,5180.9,5369.3,404,10954.2
Jan-07,9832,7134,457,17423
Feb-07,9894,5807,458,16159
Mar-07,9430,6735,300,16465
Apr-07,9112,5581,320,15013
May-07,8588,7166,411,16165
Jun-07,8325,5856,385,14566
Jul-07,9683,8017,460,18160
Aug-07,8899,6900,254,16053
Sep-07,8798,6580,262,15640
Oct-07,7937,6666,451,15054
Nov-07,8188,6606,377,15171
Dec-07,7798,6520,476,14794
Jan-08,9026,7646,406,17078
Feb-08,8878,6558,432,15868
Mar-08,8448,7864,366,16678
Apr-08,8889,6267,372,15528
May-08,8796,7795,407,16998
Jun-08,7056,6464,348,13868
Jul-08,8495,7940,438,16873
Aug-08,7457,7079,316,14852
Sep-08,7745,7199,416,15360
Oct-08,7002,6538,356,13896
Nov-08,7241,6476,306,14023
Dec-08,6681.9,5397.6,501.2,12580.7
Jan-09,7155,6716,348,14219
Feb-09,7282,5839,352,13473
Mar-09,6972,7457,376,14805
Apr-09,7807,5964,346,14117
May-09,7260,7191,442,14893
Jun-09,6281,6340,461,13082
Jul-09,7411,10218,472,18101
Aug-09,6891,7285,375,14551
Sep-09,7457,7540,319,15316
Oct-09,6857,6695,414,13966
Nov-09,7649,8327,372,16348
Dec-09,7374.3,7019.3,242.7,14636.3
Jan-10,7978,8815,422,17215
Feb-10,7594,6606,420,14620
Mar-10,7795,8571,413,16779
Apr-10,7663,7047,447,15157
May-10,8621,8656,449,17726
Jun-10,6771,6756,466,13993
Jul-10,8950,9596,495,19041
Aug-10,7260,7419,408,15087
Sep-10,7956,9443,318,17717
Oct-10,7805,7481,520,15806
Nov-10,8002,8490,408,16900
Dec-10,6885,7857,382,15124
Jan-11,9133,9929,379,19441
Feb-11,9883,7234,340,17457
Mar-11,8544,9905,400,18849
Apr-11,8843,7792,338,16973
May-11,9264,8957,439,18660
Jun-11,7703,7221,441,15365
Jul-11,9000,9803,436,19239
Aug-11,8362,7882,382,16626
Sep-11,7900,9314,383,17597
Oct-11,7656,7424,465,15545
Nov-11,7738,9295,440,17473
Dec-11,9278,8223,786,18287
Jan-12,12636,10032,503,23171
Feb-12,8934,7484,364,16782
Mar-12,8268,9146,365,17779
Apr-12,8767,7810,422,16999
May-12,8758,9064,478,18300
Jun-12,8330,7618,426,16374
Jul-12,9098,10540,519,20157
Aug-12,7934,8749,355,17038
Sep-12,8739,9464,313,18516
Oct-12,7918,9032,552,17502
Nov-12,8592,8346,446,17384
Dec-12,9244,8139,705,18088
Jan-13,10515,10459,428,21402
Feb-13,8534,8079,413,17026
Mar-13,8545,10167,333,19045
Apr-13,9625,8382,430,18437
May-13,11144,9885,581,21610
Jun-13,9813,9099,512,19424
Jul-13,10923,11721,550,23194
Aug-13,9300,8750,519,18569
Sep-13,9870,11470,369,21709
Oct-13,9269,7825,533,17627
Nov-13,10571,10391,376,21338
Dec-13,12058,8247,890,21195
Jan-14,12273,12065,494,24832
Feb-14,10393,8884,586,19863
Mar-14,10183,11060,472,21715
Apr-14,10896,8716,456,20068
May-14,10406,11479,619,22504
Jun-14,9026,8824,593,18443
Jul-14,11220,10557,684,22461
Aug-14,11124,9758,509,21391
Sep-14,9471,11379,469,21319
Oct-14,10077,9360,534,19971
Nov-14,9842,10836,474,21152
Dec-14,10211,10560,128,20899
Jan-15,13242,11594,582,25418
Feb-15,10803,8781,504,20088
Mar-15,11335,11881,666,23882
Apr-15,11581,9556,501,21638
May-15,11260,11572,561,23393
Jun-15,10241,9337,648,20226
Jul-15,13250,12178,639,26067
Aug-15,12354,10517,540,23411
Sep-15,11177,11042,363,22582
Oct-15,9990,10082,516,20588
Nov-15,11084,10426,547,22057
Dec-15,8593,9243,639,18475
Jan-16,13670,13160,562,27392
Feb-16,11803,8911,550,21264
Mar-16,11596,11804,551,23951
Apr-16,12049,8714,544,21307
May-16,12653,13095,607,26355
Jun-16,11514,9719,778,22011
Jul-16,13360,12384,639,26383
Aug-16,11289,10347,554,22190
Sep-16,12204,12462,605,25271
Oct-16,11714,9665,483,21862
Nov-16,11497,11823,578,23898
Dec-16,10272,10285,263,20820
Jan-17,15855,11925,658,28438
Feb-17,13026,9717,505,23248
Mar-17,12370,11553,435,24358
Apr-17,13147,10491,464,24102
May-17,13694,11711,625,26030
Jun-17,12556,9084,530,22170
Jul-17,14235,13266,619,28120
Aug-17,16520,10604,536,27660
Sep-17,16618,12406,382,29406
Oct-17,19740,9782,486,30008
Nov-17,12400,11161,542,24103
Dec-17,8245,9979,627,18851
Jan-18,15600,13422,670,29692
Feb-18,13531,10758,547,24836
Mar-18,14264,11441,559,26264
Apr-18,13909,10767,564,25240
May-18,12464,12056,609,25129
Jun-18,13127,10350,558,24035
Jul-18,14389,12976,640,28005
Aug-18,12926,10936,485,24347
Sep-18,11608,8335,395,20338
Oct-18,12968,14484,622,28074
Nov-18,13060,11208,447,24715
Dec-18,14330,10640,739,25709
Jan-19,15791,13287,680,29758
Feb-19,13020,10423,571,24014
Mar-19,14044,14249,580,28873
Apr-19,14185,8923,582,23690
May-19,14837,13416,597,28850
Jun-19,12653,9723,596,22972
Jul-19,14747,14108,674,29529
Aug-19,13727,10227,499,24453
Sep-19,14335,13058,467,27860
Oct-19,11579,9779,498,21856
Nov-19,15093,12650,505,28248
Dec-19,14011,11586,663,26260
Jan-20,18257,14242,776,33275
Feb-20,14181,10166,607,24954
Mar-20,12105,10167,439,22711
Apr-20,12338,8646,235,21219
May-20,11901,10268,463,22632
Jun-20,12759,9976,615,23350
Jul-20,14615,12452,763,27830
Aug-20,14065,11856,510,26431
Sep-20,14334,13210,448,27992
Oct-20,13409,10164,493,24066
Nov-20,14361,11726,454,26541
Dec-20,14620,14320,622,29562
Jan-21,19651,13723,645,34019
Feb-21,16325,10492,541,27358
Mar-21,16849,12487,504,29840
Apr-21,17319,13465,578,31362
May-21,16064,13829,561,30454
Jun-21,16102,12143,623,28868
Jul-21,19684,15356,655,35695
Aug-21,18211,13950,596,32757
Sep-21,17169,7847,492,25508
Oct-21,17972,18882,449,37303
Nov-21,19822,15592,572,35986
Dec-21,21004,12457,612,34073
Jan-22,29525,17218,647,47390
Feb-22,21608,12821,731,35160
Mar-22,20767,15630,536,36933
Apr-22,21678,14235,599,36512
May-22,22082,15248,615,37945
Jun-22,19915,12737,707,33359
Jul-22,20963,15908,721,37592
Aug-22,20426,12890,594,33910
Sep-22,19772,14871,447,35090
Oct-22,19438,12975,646,33059
Nov-22,19434,13995,452,33881
Dec-22,19078,15664,683,35425
Jan-23,26654,16559,678,43891
Feb-23,21134,13084,775,34993
Mar-23,19983,14264,622,34869
Apr-23,20728,14288,617,35633
May-23,19942,14147,807,34896
Jun-23,18660,12389,742,31791
Jul-23,20638,16028,738,37404
Aug-23,18846,13156,603,32605
Sep-23,19679,13713,660,34052
Oct-23,16483,12114,503,29100
Nov-23,16547,12708,393,29648
Dec-23,18442,14255,613,33310
Jan-24,25688,16512,700,42900
Feb-24,20151,14316,897,35364
Mar-24,20718,15129,745,36592
Apr-24,22191,8818,732,31741
May-24,21176,21062,688,42926
Jun-24,19262,14463,788,34513
Jul-24,21467,17030,818,39315
Aug-24,20946,14603,775,36324
Sep-24,20188,17807,695,38690
Oct-24,20255,15676,635,36566
Nov-24,20897,15135,485,36517
Dec-24,22401,20669,876,43946
Jan-25,41352,20222,916,62490
Feb-25,23506,14429,999,38934
Mar-25,22401,16972,780,40153
Apr-25,24623,16044,993,41660
