month_year, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax 
Jan-96,"1,330.00","2,196.00","-1,106.00","2,420",92,611,703,53,314
Feb-96,"1,236.00","1,653.00",-890,"1,999",91,546,637,43,296
Mar-96,"1,284.00","2,037.00",-856,"2,465",107,619,726,66,326
Apr-96,"1,341.00","1,692.00",-702,"2,331",80,525,605,19,322
May-96,"1,264.00","1,917.00",-801,"2,380",92,623,715,84,360
Jun-96,"1,250.50","1,649.00",-785,"2,115",88,616.2,704.2,16,334
Jul-96,"1,298.60","2,315.50",-872,"2,742",86.3,516.9,603.2,101.9,373.2
Aug-96,"1,141.90","1,771.90",-861.7,"2,052",84.6,530.1,614.7,50.1,379.7
Sep-96,"1,148.80","2,308.70",-787.9,"2,670",83.6,538.4,622,74.2,375.5
Oct-96,"1,329.10","1,641.90",-787.5,"2,184",90.1,622.9,713,101.3,360.6
Nov-96,"1,123.80","2,166.50",-865.4,"2,425",77,534.3,611.3,25.3,330.9
Dec-96,"1,145.00","1,631.00",-686.2,"2,090",88,671.8,759.8,84.3,387.3
Jan-97,"1,228.20","2,519.40",-866.2,"2,881",99.2,512.3,611.5,58.7,382.2
Feb-97,"1,161.10","1,825.80",-800,"2,187",89.7,522.4,612.1,24.5,351.5
Mar-97,"1,563.90","2,248.90",-813.2,"3,000",118.3,660.3,778.6,84,414.8
Apr-97,"1,197.20","1,708.10",-622.2,"2,283",103.1,533.3,636.4,17.1,392.4
May-97,"1,285.50","2,314.10",-989.9,"2,610",99.9,614.8,714.7,68.5,380.9
Jun-97,"1,322.60","1,728.70",-802,"2,249",97.9,792.2,890.1,50.4,425.8
Jul-97,"1,312.80","2,416.60",-893.9,"2,836",88.2,471.4,559.6,88.9,470.4
Aug-97,"1,290.20","1,970.30",-832,"2,429",92.1,531.4,623.5,98.7,443.5
Sep-97,"1,272.80","2,535.00",-867,"2,941",101.3,547.6,648.9,40.9,429.8
Oct-97,"1,238.70","1,929.30",-829.9,"2,338",80,535.5,615.5,108.5,398.6
Nov-97,"1,327.40","2,337.50",-930,"2,735",91.2,610.9,702.1,17.3,408.4
Dec-97,"1,296.70","1,838.00",-789.4,"2,345",99.5,814.9,914.4,84.4,460.7
Jan-98,"1,213.80","2,700.90","-1,268.40","2,646",83.9,452.2,536.1,18.6,403.4
Feb-98,"1,264.30","1,934.10",-758,"2,440",89.9,483.5,573.4,53.8,380.1
Mar-98,"1,592.70","2,594.90",-948.1,"3,240",114.5,703.9,818.4,73.6,453.8
Apr-98,"1,485.70","1,844.80","-1,001.00","2,330",98.9,663.7,762.6,22.1,419
May-98,"1,327.50","2,530.50",-934.8,"2,923",86.6,511.1,597.7,102.8,403.7
Jun-98,"1,414.50","1,868.50",-901.3,"2,382",94.7,722.6,817.3,60.9,467.7
Jul-98,"1,394.10","2,672.20","-1,024.40","3,042",88.6,524.2,612.8,65.7,461.7
Aug-98,"1,381.20","2,057.80",-892.8,"2,546",109.2,666.7,775.9,70.5,491.9
Sep-98,"1,220.50","2,708.80",-522.3,"3,407",94.9,601.5,696.4,83.8,407.9
Oct-98,"1,504.00","2,105.90","-1,226.40","2,384",112.2,796.4,908.6,71.2,446.3
Nov-98,"1,567.40","2,518.70","-1,064.40","3,022",99.9,534.8,634.7,70.2,453.9
Dec-98,"1,582.50","2,298.90","-1,108.00","2,773",97.9,654.7,752.6,60,448.6
Jan-99,"1,348.30","3,123.60","-1,216.20","3,256",89.8,494,583.8,58,463.9
Feb-99,"1,440.10","2,234.30",-780.9,"2,894",119.4,669.2,788.6,55.3,421.2
Mar-99,"1,720.80","2,684.40","-1,221.10","3,184",125.3,807.3,932.6,48.3,485.9
Apr-99,"1,476.70","2,270.00","-1,170.90","2,576",105.4,599.5,704.9,69.1,437.4
May-99,"1,490.00","2,562.70","-1,062.70","2,990",99.7,589.7,689.4,61.1,469.8
Jun-99,"1,614.10","2,180.30","-1,134.00","2,660",100.2,702.2,802.4,70.6,494.9
Jul-99,"1,568.50","2,956.00","-1,177.30","3,347",104,683.9,787.9,80.1,474
Aug-99,"1,919.90","2,366.50","-1,088.20","3,198",134.2,913.7,"1,047.90",77.9,542.4
Sep-99,"1,526.10","3,018.70","-1,217.40","3,327",124.7,697.2,821.9,90.9,439
Oct-99,"1,650.20","2,200.90","-1,113.20","2,738",110.5,703.8,814.3,68.2,502.2
Nov-99,"1,911.00","3,066.00","-1,383.20","3,594",111.1,848.7,959.8,63.8,481.5
Dec-99,"1,838.50","2,346.30","-1,358.40","2,826",120.8,776.4,897.2,61.6,449.3
Jan-00,"1,585.90","3,359.30","-1,353.10","3,592",79.8,651.1,730.9,71.1,486.1
Feb-00,"1,802.20","2,528.50","-1,453.00","2,878",109.9,839,948.9,50,450.3
Mar-00,"1,954.20","3,056.90","-1,296.50","3,715",137.7,891,"1,028.70",49,418.9
Apr-00,"1,719.60","2,325.70","-1,024.30","3,021",111.3,761.4,872.7,60.3,443.3
May-00,"1,931.70","3,049.20","-1,568.80","3,412",136.9,771.3,908.2,61.5,509.6
Jun-00,"1,780.50","2,349.60","-1,501.90","2,628",117,838.6,955.6,71.4,470.1
Jul-00,"2,045.20","3,180.50","-1,354.60","3,871",120.9,835.3,956.2,83.1,534.6
Aug-00,"2,028.80","2,547.50","-1,468.50","3,108",132.1,893.6,"1,025.70",90.4,523.1
Sep-00,"1,764.90","3,306.50","-1,463.60","3,608",119.4,663.3,782.7,62.3,482.1
Oct-00,"1,976.80","2,460.70",-633.4,"3,804",119.5,710.6,830.1,15.6,445.4
Nov-00,"1,999.10","3,013.00","-2,371.90","2,640",116.3,772.1,888.4,19.4,422.1
Dec-00,"1,727.90","2,342.70","-1,456.80","2,614",119.6,779.7,899.3,28.6,480.1
1-Jan,"1,824.00","3,509.00",-865,"4,468",104,820,924,21,441
1-Feb,"1,764.00","2,657.00","-1,963.00","2,458",130,721,851,25,471
1-Mar,"1,878.00","2,933.00","-1,456.00","3,355",137,861,998,22,447
1-Apr,"1,773.00","2,478.00","-1,227.00","3,024",121,585,706,37,404
1-May,"1,742.00","3,130.00","-1,494.00","3,378",116,717,833,30,468
1-Jun,"1,492.00","2,435.00","-1,143.00","2,784",91,690,781,35,460
1-Jul,"1,833.00","3,254.00","-1,365.00","3,722",121,851,972,37,583
1-Aug,"1,765.00","2,522.00","-1,171.00","3,116",123,802,925,35,479
1-Sep,"1,500.00","3,339.00",-738,"4,101",105,619,724,52,470
1-Oct,"1,559.00","2,484.00","-1,497.00","2,546",103,658,761,33,478
1-Nov,"1,582.00","3,029.00","-1,233.00","3,378",106,669,775,27,479
1-Dec,"1,680.00","2,578.00","-1,147.00","3,111",100,827,927,30,521
2-Jan,"1,927.00","3,464.00","-1,305.00","4,086",117,970,"1,087.00",30,488
2-Feb,"1,681.00","2,620.00","-1,080.00","3,221",120,631,751,27,448
2-Mar,"1,669.00","3,223.00","-1,177.00","3,715",126,635,761,24,491
2-Apr,"1,753.00","2,628.00","-1,061.00","3,320",112,826,938,33,439
2-May,"1,898.00","3,002.00","-1,257.00","3,643",116,674,790,32,566
2-Jun,"1,918.00","2,661.00","-1,364.00","3,215",104,811,915,31,584
2-Jul,"2,023.00","3,609.00","-1,324.00","4,308",121,679,800,52,616
2-Aug,"1,840.00","2,781.00","-1,309.00","3,312",132,715,847,41,676
2-Sep,"1,809.00","3,523.00",-613,"4,719",125,650,775,39,617
2-Oct,"2,016.00","2,496.00",-848,"3,664",119,749,868,34,622
2-Nov,"1,642.00","3,344.00","-2,163.00","2,823",95,664,759,34,579
2-Dec,"1,998.00","2,639.00",-923,"3,714",115,865,980,27,613
3-Jan,"1,863.00","3,804.00","-1,902.00","3,765",99,615,714,32,625
3-Feb,"1,755.00","2,789.00","-1,296.00","3,248",110,611,721,19,556
3-Mar,"2,211.00","3,307.00","-1,276.00","4,242",116,718,834,18,609
3-Apr,"1,805.00","2,482.00","-1,335.00","2,952",114,606,720,26,528
3-May,"1,735.00","3,264.00","-1,240.00","3,759",106,671,777,30,622
3-Jun,"1,927.00","2,610.00","-1,300.00","3,237",104,742,846,32,634
3-Jul,"1,948.00","3,398.00","-1,304.00","4,042",114,815,929,38,649
3-Aug,"1,763.00","2,853.00","-1,233.00","3,383",121,740,861,39,638
3-Sep,"1,914.00","3,582.00","-1,241.00","4,255",144,806,950,34,618
3-Oct,"1,844.00","2,820.00",-854,"3,810",123,812,935,35,596
3-Nov,"1,940.00","3,219.00",-887,"4,272",111,738,849,33,589
3-Dec,"2,152.00","2,576.00","-1,707.00","3,021",136,918,"1,054.00",35,622
4-Jan,"2,053.00","3,736.00","-1,681.00","4,108",97,863,960,33,629
4-Feb,"2,105.00","2,857.00","-1,355.00","3,607",134,744,878,33,615
4-Mar,"2,261.00","3,355.00","-1,557.00","4,059",149,834,983,54,711
4-Apr,"1,893.00","2,847.00","-1,357.00","3,383",99,429,528,28,628
4-May,"2,496.00","3,163.00","-1,338.00","4,321",162,"1,187.00","1,349.00",28,645
4-Jun,"2,120.00","2,343.00","-1,715.00","2,748",131,918,"1,049.00",31,636
4-Jul,"1,751.00","3,462.00","-1,527.00","3,686",89,771,860,35,720
4-Aug,"2,580.00","3,006.00","-1,352.00","4,234",171,"1,108.00","1,279.00",37,679
4-Sep,"1,958.00","3,545.00","-1,589.00","3,914",147,603,750,25,658
4-Oct,"2,444.00","2,688.00","-1,476.00","3,656",158,885,"1,043.00",22,665
4-Nov,"2,165.00","3,164.00","-1,655.00","3,674",137,876,"1,013.00",27,637
4-Dec,"2,327.00","2,624.00","-1,725.00","3,226",124,"1,054.00","1,178.00",19,696
5-Jan,"2,221.50","3,724.50","-1,526.00","4,420",125.5,800,925.5,23,742
5-Feb,"2,056.50","2,760.50","-1,555.00","3,262",134,710,844,30,730.5
5-Mar,"2,433.00","3,410.00","-1,604.00","4,239",148,784,932,28,753
5-Apr,"2,002.00","2,764.00","-1,598.00","3,168",127,633,760,32,743
5-May,"2,807.00","3,597.00","-1,549.00","4,855",184,"1,302.00","1,486.00",32,737
5-Jun,"2,280.00","2,611.00","-1,879.00","3,012",136,995,"1,131.00",32,790
5-Jul,"2,446.00","3,670.00","-1,740.00","4,376",133,996,"1,129.00",32,875
5-Aug,"2,726.00","2,975.00","-1,851.00","3,850",178,"1,132.00","1,310.00",49,818
5-Sep,"2,516.00","3,702.00","-1,825.00","4,393",168,805,973,22,890
5-Oct,"2,220.00","3,080.00","-1,458.00","3,842",120,667,787,30,878
5-Nov,"2,352.00","3,227.00","-1,827.00","3,752",161,915,"1,076.00",26,841
5-Dec,"2,339.00","2,759.00","-1,819.00","3,279",150,"1,056.00","1,206.00",100,862
6-Jan,"2,740.00","4,071.00","-1,897.00","4,914",157,"1,146.00","1,303.00",24,847
6-Feb,"2,378.00","3,178.00","-1,890.00","3,666",160,777,937,28,862
6-Mar,"2,552.00","3,685.00","-2,085.00","4,152",155,716,871,23,913
6-Apr,"2,420.00","3,129.00","-1,257.00","4,292",158,741,899,44,874
6-May,"2,812.00","3,843.00","-2,388.00","4,267",201,"1,160.00","1,361.00",31,867
6-Jun,"2,521.00","2,908.00","-2,042.00","3,387",135,889,"1,024.00",27,966
6-Jul,"2,364.00","4,026.00","-1,891.00","4,499",153,"1,082.00","1,235.00",44,980
6-Aug,"2,748.00","2,817.00","-1,959.00","3,606",196,957,"1,153.00",27,954
6-Sep,"2,131.00","3,931.00","-1,989.00","4,073",140,822,962,33,961
6-Oct,"2,540.00","3,117.00","-1,661.00","3,996",182,943,"1,125.00",28,"1,043.00"
6-Nov,"2,249","3,636","-1,912","3,973",136,924,"1,060.00",30,"1,080"
6-Dec,"2,405","3,028","-1,809","3,624",124,757,881,27,"1,085"
7-Jan,"2,517","4,184","-1,804","4,897",161,"1,247","1,408.00",28,"1,032"
7-Feb,"2,356","3,160","-1,647","3,869",180,"1,119","1,299.00",29,835
7-Mar,"2,446","3,939","-1,976","4,409",181,858,"1,039.00",25,994
7-Apr,"2,303","3,426","-1,665","4,064",132,582,714,40,969
7-May,"2,692","3,798","-1,949","4,541",193,"1,455","1,648.00",40,978
7-Jun,"2,665","3,091","-2,197","3,559",187,"1,367","1,554.00",29,925
7-Jul,"3,028","4,298","-2,150","5,176",207,"1,379","1,586.00",9,"1,147"
7-Aug,"3,057","3,357","-2,114","4,300",240,"1,252","1,492.00",16,"1,217"
7-Sep,"2,381","4,116","-1,775","4,722",187,851,"1,038.00",7,"1,126"
7-Oct,"2,940","3,374","-2,144","4,170",219,"1,134","1,353.00",24,"1,064"
7-Nov,"2,730","3,940","-2,207","4,463",166,982,"1,148.00",21,"1,136"
7-Dec,"2,955","3,313","-2,068","4,200",169,"1,074","1,243.00",19,"1,206"
8-Jan,"3,089","4,850","-2,523","5,416",234,"1,453","1,687.00",17,"1,172"
8-Feb,"2,628","3,442","-2,147","3,923",210,"1,177","1,387.00",23,"1,155"
8-Mar,"3,121","4,168","-1,780","5,509",219,"1,221","1,440.00",19,"1,220"
8-Apr,"2,813","3,370","-2,306","3,877",192,"1,098","1,290.00",16,"1,137"
8-May,"2,835","4,521","-2,071","5,285",181,"1,147","1,328.00",20,"1,120"
8-Jun,"2,800","3,298","-2,088","4,010",169,"1,261","1,430.00",21,"1,292"
8-Jul,"3,044","4,393","-2,141","5,296",223,"1,267","1,490.00",14,"1,277"
8-Aug,"2,689","3,661","-1,698","4,652",198,"1,086","1,284.00",31,"1,329"
8-Sep,"2,663","4,395","-2,105","4,953",206,797,"1,003.00",22,"1,261"
8-Oct,"2,702","3,585","-1,731","4,556",193,719,912,17,"1,113"
8-Nov,"2,722","4,133","-2,371","4,484",201,866,"1,067.00",18,"1,231"
8-Dec,"2,314","3,225","-2,204","3,335",155,624,779,17,"1,185"
9-Jan,"2,232","4,664","-2,057","4,839",186,890,"1,076.00",17,"1,149"
9-Feb,"2,137","3,277","-1,678","3,736",202,992,"1,194.00",16,"1,083"
9-Mar,"2,447","4,281","-1,536","5,192",215,"1,109","1,324.00",18,"1,259"
9-Apr,"2,084","3,626","-1,599","4,111",170,724,894,17,"1,191"
9-May,"2,185","4,195","-1,608","4,772",179,956,"1,135.00",18,"1,245"
9-Jun,"2,354","3,146","-1,668","3,832",190,"1,323","1,513.00",22,"1,287"
9-Jul,"2,844","5,494","-1,628","6,710",223,"1,966","2,189.00",22,"1,454"
9-Aug,"2,999","3,538","-1,696","4,841",218,957,"1,175.00",20,"1,477"
9-Sep,"2,297","4,969","-1,795","5,471",198,688,886,24,"1,380"
9-Oct,"2,410","3,635","-1,803","4,242",203,943,"1,146.00",23,"1,398"
9-Nov,"2,693","4,983","-1,826","5,850",196,911,"1,107.00",16,"1,537"
9-Dec,"2,658","3,676","-1,977","4,357",229,"1,043","1,272.00",16,"1,532"
10-Jan,"2,714","5,774","-2,007","6,481",229,995,"1,224.00",21,"1,544"
10-Feb,"2,424","3,967","-1,850","4,541",233,"1,082","1,315.00",15,"1,241"
10-Mar,"2,938","4,831","-1,982","5,787",244,"1,070","1,314.00",35,"1,620"
10-Apr,"2,611","4,065","-2,122","4,554",190,954,"1,144.00",20,"1,362"
10-May,"2,801","4,850","-1,927","5,724",235,"1,291","1,526.00",20,"1,545"
10-Jun,"2,840","3,520","-2,098","4,262",222,"1,194","1,416.00",23,"1,490"
10-Jul,"2,927","5,573","-2,117","6,383",247,"1,291","1,538.00",27,"1,579"
10-Aug,"3,025","3,851","-2,227","4,649",292,"1,300","1,592.00",25,"1,642"
10-Sep,"2,435","5,551","-1,463","6,523",197,925,"1,122.00",27,"1,575"
10-Oct,"3,127","3,738","-2,459","4,406",253,"1,497","1,750.00",29,"1,696"
