month_year, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax 
10-Nov,"2,699","5,190","-2,071","5,818",206,"1,196","1,402.00",24,"1,545"
10-Dec,"3,080","3,924","-2,006","4,998",148,"1,352","1,500.00",25,"1,600"
11-Jan,"3,109","6,051","-2,144","7,016",239,"1,472","1,711.00",32,"1,675"
11-Feb,"2,989","4,058","-2,142","4,905",225,"1,080","1,305.00",23,"1,482"
11-Mar,"3,681","5,460","-2,589","6,552",291,"1,342","1,633.00",23,"1,603"
11-Apr,"3,079","3,984","-1,648","5,415",200,"1,116","1,316.00",18,"1,497"
11-May,"3,462","5,649","-3,314","5,797",258,"1,289","1,547.00",21,"1,613"
11-Jun,"3,144","3,648","-2,347","4,445",225,"1,372","1,597.00",30,"1,644"
11-Jul,"3,351","5,877","-2,551","6,677",238,"1,311","1,549.00",33,"1,795"
11-Aug,"3,699","3,744","-2,540","4,903",314,"1,332","1,646.00",20,"1,644"
11-Sep,"3,258","5,585","-2,209","6,634",262,976,"1,238.00",27,"1,458"
11-Oct,"3,322","3,648","-2,159","4,811",240,"1,162","1,402.00",26,"1,640"
11-Nov,"3,541","5,302","-2,520","6,323",236,"1,371","1,607.00",27,"1,608"
11-Dec,"3,173","3,771","-1,668","5,276",192,"1,258","1,450.00",27,"1,555"
12-Jan,"3,971","6,527","-3,132","7,366",284,"1,231","1,515.00",17,"1,755.00"
12-Feb,"3,622","3,868","-2,749","4,741",207,"1,443","1,650.00",13,"1,607.00"
12-Mar,"3,811","5,252","-2,928","6,135",217,"1,226","1,443.00",28,"1,581.00"
12-Apr,"3,678","3,784","-2,165","5,297",204,"1,139","1,343.00",19,"1,627.00"
12-May,"3,731","5,435","-3,263","5,903",227,"1,277","1,504.00",30,"1,699.00"
12-Jun,"3,505","4,139","-2,976","4,668",226,"1,418","1,644.00",29,"1,513.00"
12-Jul,"3,933","5,731","-2,557","7,107",257,"1,595","1,852.00",30,"1,891.00"
12-Aug,"4,139","4,403","-2,715","5,827",225,"1,308","1,533.00",27,"1,801.00"
12-Sep,"3,020","6,475","-2,188","7,307",173,960,"1,132.50",27,"1,731.50"
12-Oct,"4,350","4,237","-2,946","5,641",222,"1,309","1,530.50",24,"1,578.50"
12-Nov,"3,150","5,510","-3,122","5,538",161,"1,156","1,317.00",39,"1,752.50"
12-Dec,"4,041","4,397","-2,931","5,507",152,"1,023","1,174.50",21,"1,551.50"
13-Jan,"3,595","7,157","-3,134","7,618",178,"1,503","1,681.00",27,"1,670"
13-Feb,"3,577","4,701","-2,640","5,638",190,"1,144","1,334.00",40,"1,527"
13-Mar,"3,369","6,266","-2,476","7,159",189,"1,284","1,473.00",26,"1,775"
13-Apr,"3,742","4,536","-2,833","5,445",165,"1,491","1,656.00",33,"1,514"
13-May,"3,566","6,249","-2,971","6,844",203,"1,351","1,554.00",65,"1,811"
13-Jun,"3,498","5,364","-2,613","6,249",200,"1,287","1,487.00",60,"1,783"
13-Jul,"4,329","6,984","-2,704","8,609",216,"1,437","1,653.00",71,"1,797"
13-Aug,"3,741","4,972","-3,126","5,587",225,"1,303","1,528.00",35,"1,790"
13-Sep,"3,290","6,760","-1,544","8,506",176,"1,208","1,384.00",16,"1,767"
13-Oct,"3,984","5,064","-3,993","5,055",231,"1,167","1,398.00",15,"1,769"
13-Nov,"3,433","6,981","-2,711","7,703",152,"1,068","1,220.00",35,"1,734"
13-Dec,"3,661","4,902","-3,320","5,243",181,"1,133","1,314.00",34,"1,797"
14-Jan,"3,965","8,163","-2,923","9,205",240,"1,415","1,655.00",35,"1,904"
14-Feb,"3,604","5,249","-2,880","5,973",254,"1,274","1,528.00",29,"1,667"
14-Mar,"3,683","6,840","-2,640","7,883",218,"1,329","1,547.00",27,"1,841"
14-Apr,"3,549","4,896","-2,304","6,141",198,"1,314","1,512.00",31,"1,737"
14-May,"3,800","7,364","-3,136","8,028",246,"1,455","1,701.00",35,"1,798"
14-Jun,"3,567","4,828","-2,474","5,921",231,"1,301","1,532.00",35,"1,905"
14-Jul,"4,013","6,863","-3,195","7,681",240,"1,395","1,635.00",26,"1,835"
14-Aug,"3,781","5,362","-2,985","6,158",234,"1,520","1,754.00",36,"1,840"
14-Sep,"3,538","7,090","-2,454","8,174",233,"1,314","1,547.00",24,"1,865"
14-Oct,"3,738","5,470","-2,748","6,460",237,"1,418","1,655.00",44,"1,783"
14-Nov,"3,421","6,857","-2,697","7,581",184,"1,196","1,380.00",36,"1,868"
14-Dec,"4,485","5,114","-3,099","6,500",255,"2,551","2,806.00",36,
15-Jan,"3,411","8,809","-3,122","9,098",236,"1,082","1,318.00",40,"1,818"
15-Feb,"3,272","5,536","-2,775","6,033",231,"1,115","1,346.00",40,"1,754"
15-Mar,"4,097","7,253","-2,844","8,506",302,"1,576","1,878.00",31,"1,915"
15-Apr,"3,390","5,606","-2,607","6,389",176,"1,214","1,390.00",47,"1,902"
15-May,"3,645","7,407","-2,839","8,213",234,"1,536","1,770.00",35,"2,028"
15-Jun,"3,771","5,445","-3,090","6,126",267,"1,484","1,751.00",41,"1,880"
15-Jul,"3,812","8,216","-3,411","8,617",247,"1,577","1,824.00",45,"2,037"
15-Aug,"3,766","5,991","-2,334","7,423",325,"1,612","1,937.00",41,"2,087"
15-Sep,"2,909","7,951","-2,451","8,409",201,"1,037","1,238.00",56,"1,936"
15-Oct,"3,551","5,972","-2,925","6,598",279,"1,413","1,692.00",32,"1,815"
15-Nov,"3,306","7,415","-3,262","7,459",202,"1,248","1,450.00",25,"2,018"
15-Dec,"3,742","5,189","-3,054","5,877",179,"1,597","1,776.00",17,"1,797"
16-Jan,"3,278","8,856","-2,790","9,344",275,"1,915","2,190.00",23,"2,008"
16-Feb,"3,448","5,661","-3,027","6,082",294,"1,334","1,628.00",24,"1,851"
16-Mar,"3,751","7,630","-3,176","8,205",262,"1,781","2,043.00",29,"1,941"
16-Apr,"3,152","5,614","-3,079","5,687",202,"1,444","1,646.00",10,"1,851"
16-May,"4,041","7,822","-2,688","9,175",316,"1,952","2,268.00",45,"2,075"
16-Jun,"3,687","5,355","-2,803","6,239",271,"1,564","1,835.00",32,"2,113"
16-Jul,"3,659","8,255","-3,242","8,672",278,"1,621","1,899.00",25,"2,139"
16-Aug,"4,019","5,647","-2,971","6,695",316,"1,632","1,948.00",31,"2,080"
16-Sep,"3,694","8,306","-2,947","9,053",310,"1,673","1,983.00",29,"2,102"
16-Oct,"3,043","5,748","-1,905","6,886",203,"1,033","1,236.00",16,"1,915"
16-Nov,"3,497","7,241","-2,245","8,493",258,"1,423","1,681.00",29,"1,962"
16-Dec,"4,320","5,501","-4,414","5,407",312,"3,182","3,494.00",21,"1,998"
17-Jan,"3,602","9,072","-3,394","9,280",267,"1,109","1,376.00",21,"2,068"
17-Feb,"3,302","6,256","-2,802","6,756",260,"1,020","1,280.00",21,"1,863"
17-Mar,"3,720","7,712","-3,411","8,021",248,"1,630","1,878.00",30,"2,110"
17-Apr,"3,250","6,056","-1,841","7,465",217,"1,324","1,541.00",27,"2,016"
17-May,"3,660","7,982","-3,348","8,294",289,"1,544","1,833.00",27,"2,026"
17-Jun,"3,432","5,675","-3,464","5,643",247,"1,282","1,529.00",27,"2,158"
17-Jul,"3,700","8,747","-2,945","9,502",280,"1,733","2,013.00",36,"2,275"
17-Aug,"3,906","5,959","-2,840","7,025",302,"1,415","1,717.00",27,"2,197"
17-Sep,"3,337","8,516","-2,342","9,511",222,"1,169","1,391.00",10,"1,967"
17-Oct,"3,672","5,994","-3,197","6,469",226,"1,245","1,471.00",28,"2,242"
17-Nov,"3,425","8,228","-3,666","7,987",225,"1,255","1,480.00",18,"2,160"
17-Dec,"3,863","6,266","-3,173","6,956",234,"1,424","1,658.00",18,"2,104"
18-Jan,"3,951","9,340","-3,155","10,136",263,"1,743","2,006.00",22,"1,936"
18-Feb,"3,911","6,348","-2,946","7,313",235,"1,751","1,986.00",24,"1,796"
18-Mar,"4,092","7,933","-4,172","7,853",245,"1,678","1,923.00",28,"2,037"
18-Apr,"3,795","6,357","-2,499","7,653",195,"1,317","1,512.00",31,"2,047"
18-May,"4,080","7,942","-3,119","8,903",257,"1,420","1,677.00",23,"2,076"
18-Jun,"3,866","6,152","-3,119","6,899",235,"1,398","1,633.00",37,"2,040"
18-Jul,"4,415","8,521","-3,515","9,421",262,"1,592","1,854.00",28,"2,233"
18-Aug,"4,186","6,244","-3,256","7,174",270,"1,538","1,808.00",27,"2,317"
18-Sep,"3,029","4,013","-1,724","5,318",146,"1,032","1,178.00",7,"1,926"
18-Oct,"4,310","10,508","-3,646","11,172",235,"1,400","1,635.00",46,"2,068"
18-Nov,"3,893","8,196","-3,584","8,505",198,"1,267","1,465.00",27,"2,012"
18-Dec,"3,982","6,400","-2,853","7,529",252,"1,345","1,597.00",28,"2,041"
19-Jan,"4,219","9,642","-3,493","10,368",277,"1,394","1,671.00",21,"1,966"
19-Feb,"4,047","6,652","-3,611","7,088",277,"1,351","1,628.00",22,"1,876"
19-Mar,"4,663","8,361","-3,507","9,517",305,"2,813","3,118.00",25,"2,158"
19-Apr,"3,934","4,999","-2,974","5,959",231,"1,011","1,242.00",25,"1,998"
19-May,"3,875","10,392","-4,175","10,092",236,"1,100","1,336.00",21,"2,189"
19-Jun,"3,714","6,379","-3,243","6,850",223,"1,140","1,363.00",27,"2,134"
19-Jul,"4,545","9,251","-3,206","10,590",249,"1,359","1,608.00",25,"2,300"
19-Aug,"3,969","6,797","-3,947","6,819",232,"1,274","1,506.00",27,"2,229"
19-Sep,"3,456","9,276","-2,946","9,786",209,"1,397","1,606.00",21,"2,267"
19-Oct,"3,767","5,418","-2,605","6,580",236,"1,227","1,463.00",33,"1,937"
19-Nov,"3,477","9,882","-3,362","9,997",209,"1,178","1,387.00",20,"2,038"
19-Dec,"4,473","6,497","-3,798","7,172",340,"2,547","2,887.00",20,"2,140"
20-Jan,"3,961","11,048","-3,881","11,128",252,"1,360","1,612.00",25,"2,080"
20-Feb,"3,302","7,293","-3,514","7,081",230,"1,317","1,547.00",14,"1,865"
20-Mar,"3,863","6,740","-4,000","6,603",212,"2,022","2,234.00",25,"1,970"
20-Apr,"3,036","6,161","-2,113","7,084",173,624,797,21,"1,044"
20-May,"3,086","7,989","-3,493","7,582",205,987,"1,192.00",26,"1,679"
20-Jun,"3,589","6,765","-3,578","6,776",227,"1,509","1,736.00",25,"1,900"
20-Jul,"3,698","8,659","-3,261","9,096",252,"1,409","1,661.00",26,"2,141"
20-Aug,"3,574","7,978","-3,033","8,519",225,"1,425","1,650.00",25,"2,136"
20-Sep,"3,454","8,939","-2,720","9,673",236,"1,870","2,106.00",29,"2,022"
20-Oct,"3,545","7,365","-3,279","7,631",237,"1,170","1,407.00",22,"1,566"
20-Nov,"3,636","8,237","-3,122","8,751",256,"1,371","1,627.00",29,"2,022"
20-Dec,"4,751","7,418","-3,285","8,884",378,"3,114","3,492.00",36,"1,922"
21-Jan,"3,910","10,137","-3,338","10,709",271,"1,504","1,775.00",23,"1,715"
21-Feb,"3,943","7,386","-3,525","7,804",274,"1,359","1,633.00",22,"1,596"
21-Mar,"4,595","8,273","-4,165","8,703",310,"1,797","2,107.00",24,"1,880"
21-Apr,"4,362","8,606","-3,089","9,879",295,"1,608","1,903.00",30,"1,950"
21-May,"4,206","9,394","-3,265","10,335",286,"1,817","2,103.00",20,"1,978"
21-Jun,"4,533","7,518","-4,089","7,962",329,"2,100","2,429.00",33,"2,107"
21-Jul,"4,542","10,782","-3,612","11,712",318,"1,684","2,002.00",25,"2,172"
21-Aug,"4,892","9,063","-4,181","9,774",345,"1,895","2,240.00",30,"2,300"
21-Sep,"3,717","3,482","-2,527","4,672",240,"1,265","1,505.00",29,"2,032"
21-Oct,"4,837","14,973","-4,851","14,959",324,"1,465","1,789.00",29,"2,179"
21-Nov,"4,798","11,729","-4,115","12,412",321,"1,837","2,158.00",21,"2,030"
21-Dec,"4,568","9,598","-5,615","8,551",371,"1,647","2,018.00",26,"2,135"
22-Jan,"5,105","12,178","-3,406","13,877",362,"1,892","2,254.00",32,"2,005"
22-Feb,"4,931","9,201","-4,843","9,289",350,"1,657","2,007.00",73,"1,932"
22-Mar,"5,704","10,958","-5,117","11,545",354,"1,854","2,208.00",80,"2,329"
22-Apr,"5,121","9,709","-4,607","10,223",316,"1,843","2,159.00",93,"2,167"
22-May,"6,214","11,115","-5,721","11,608",288,"1,708","1,996.00",103,"2,031"
22-Jun,"5,378","8,881","-5,567","8,692",173,"1,926","2,099.00",117,"2,126"
22-Jul,"5,785","11,703","-4,999","12,489",182,"1,844","2,026.00",104,"2,231"
22-Aug,"5,621","9,320","-5,645","9,296",161,"1,737","1,898.00",111,"1,989"
22-Sep,"4,779","11,326","-4,607","11,498",121,"1,545","1,666.00",141,"2,082"
22-Oct,"5,179","8,791","-4,268","9,702",177,"1,602","1,779.00",133,"1,874"
22-Nov,"5,285","10,166","-5,041","10,410",206,"1,867","2,073.00",95,"1,960"
22-Dec,"5,765","8,930","-4,771","9,924",309,"3,154","3,463.00",84,
23-Jan,"5,285","12,439","-4,876","12,848",113,"1,686","1,799.00",95,"2,376"
23-Feb,"5,089","9,550","-5,559","9,080",168,"2,235","2,403.00",96,"2,064"
23-Mar,"5,496","10,131","-5,836","9,791",198,"2,272","2,470.00",79,"2,413"
23-Apr,"4,613","9,754","-3,610","10,757",126,"1,616","1,742.00",111,"2,079"
23-May,"5,650","10,107","-5,822","9,935",180,"2,302","2,482.00",23,"2,273"
23-Jun,"4,944","8,968","-5,492","8,420",110,"1,846","1,956.00",36,"2,491"
23-Jul,"5,355","10,957","-4,487","11,825",135,"2,097","2,232.00",21,"2,495"
23-Aug,"5,476","9,299","-5,376","9,399",105,"1,832","1,937.00",37,"2,423"
23-Sep,"4,544","11,084","-5,128","10,500",98,"1,344","1,442.00",32,"2,238"
23-Oct,"5,124","7,620","-3,949","8,795",127,"1,785","1,912.00",26,"1,915"
23-Nov,"4,526","9,658","-4,297","9,887",84,"1,170","1,254.00",28,"1,929"
23-Dec,"5,109","8,889","-5,158","8,840",301,"3,001","3,302.00",34,"2,110"
24-Jan,"4,513","12,388","-3,959","12,942",112,"1,634","1,746.00",29,"2,340"
24-Feb,"5,058","10,146","-4,538","10,666",105,"1,651","1,756.00",25,"2,262"
24-Mar,"5,069","11,064","-4,860","11,273",132,"1,697","1,829.00",26,"2,484"
24-Apr,"4,580","4,371","-4,021","4,930",92,"1,720","1,812.00",23,"2,256"
24-May,"5,180","16,587","-4,778","16,989",136,"2,127","2,263.00",24,"2,400"
24-Jun,"4,570","10,964","-5,227","10,307",118,"1,929","2,047.00",35,"2,496"
24-Jul,"5,756","11,739","-5,068","12,427",116,"2,212","2,328.00",28,"2,652"
24-Aug,"5,049","9,879","-4,770","10,158",125,"2,153","2,278.00",31,"2,580"
24-Sep,"5,382","12,032","-4,029","13,385",118,"1,997","2,115.00",25,"2,724"
24-Oct,"5,291","10,113","-3,738","11,666",122,"1,792","1,914.00",33,"2,423"
24-Nov,"5,145","11,439","-5,525","11,059",133,"1,988","2,121.00",29,"2,261"
24-Dec,"7,596",10103,"-4,941","12,758",452,5423,"5,875",38,2636
25-Jan,"5,292",16738,"-5,092","16,938",89,1300,"1,389",36,2542
25-Feb,"4,902",11354,"-5,354","10,902",97,1611,"1,708",18,2242
25-Mar,"5,913","11,896","-5,286","12,523",127,"2,294","2,421",56,"2,535"
25-Apr,"5,412","10,730","-5,068","11,074",128,"2,141","2,269",23,"2,400"
